Disease ID,Disease Name,Associated Gene IDs,splits
C0376545,Hematologic Neoplasms,"10456,2120,2175,2176,2177,2178,2189,2956,3309,4292,4436,4615,472,4893,5243,5290,5395,5422,5444,5925,641,701",7
C1839839,MAJOR AFFECTIVE DISORDER 2,"10042,10043,1015,144717,1610,1636,1644,23209,23316,3680,3785,4096,4391,5320,5321,5524,55364,55507,5590,6844,8322,9223,9341,9863",5
C0392777,Poikiloderma,"1493,1643,2068,2071,2072,2073,2074,5429,55612,7133,7507,7508,940,9401",2
C0032927,Precancerous Conditions,"10188,1029,1050,1072,10897,10975,1124,121256,1373,140885,164395,166336,192286,1948,1950,217,2305,23302,23404,2495,25,25839,2705,2941,2950,3033,307,3265,339487,3481,3484,3667,383,3856,406884,406886,406910,406937,406984,406993,406994,407017,407029,407033,407054,407056,4193,4255,4353,442898,442903,442906,442908,442920,5037,506,51491,5245,54802,5592,5599,5601,5609,5743,574413,57628,587,595,619552,6317,64081,6496,6648,6776,693235,70,7171,7204,724022,728239,7422,79039,79879,8100,84249,847,84909,8659,91522,9446,95,9970,999",6
C4280645,Hypertrophy of lower jaw,"10084,10297,10479,10522,10555,10743,10907,11133,11141,1145,1161,175,2074,2146,2200,2239,2260,2263,2290,2314,2332,2353,2588,25886,26580,2673,2697,2719,2720,29072,3425,3643,3832,4038,4041,4089,4125,4621,4810,4983,5077,50964,5144,51684,54345,54507,5468,54808,54941,55650,5573,5727,5728,5781,5894,6134,6197,6424,6535,6611,6901,7040,7136,7140,7169,7337,760,7737,8242,857,860,8600,8643,8924,9049,9179,9401,9820",none
C1845977,X- linked recessive,"10046,10084,10134,10159,10682,10804,11043,11141,1184,1193,1288,1536,1654,1678,1736,1741,1756,1896,190,2010,212,215,2157,2158,2187,22,2239,2245,2273,23096,2316,23229,2334,24137,2623,2652,2705,2706,2710,2717,2719,27316,2892,28952,3028,3054,3251,331,3423,3476,3481,3547,3561,367,3897,4068,412,4128,415,4204,4281,4534,4693,4952,4983,5009,5063,50814,50943,51360,5199,5230,5255,5256,5277,5354,538,5456,546,554,5631,5956,6103,6303,633,6399,6535,6611,6748,6853,6872,6901,695,7317,7319,7454,7547,778,8239,8241,8242,8243,8260,8450,8481,8517,9131,9459,959,9968",8
C0271385,Horizontal Nystagmus,"10059,10749,2629,2911,3035,4935,4976,4990,55703,9215",5
C0020545,"Hypertension, Renovascular","2006,26608,2969,3984,4846,5982,6772,7461,9031,9569",3
C3665596,Warts,"11322,1893,3848,3857,3868,5290,6789,7852,8517,8547",0
C0266483,Pachygyria,"1021,10300,10585,11113,1641,1778,1911,2108,2109,2110,2218,2290,22930,22931,22995,23141,23545,25782,26128,29954,3796,4784,5048,50814,5192,5296,545,54820,55005,55624,5828,60,6491,7436,7846,8642,9215,9342,9640,9662,9896",3
C4083050,Agenesis of teeth,"10293,1062,10733,1075,1804,1832,2260,2263,22995,2316,2690,2697,51082,5116,545,5932,6885,6949,7020,8626,9533",7
C0221356,Brachycephaly,"10084,10265,10743,10752,1301,1380,1513,158,175,1947,2077,2132,2200,2201,2218,2260,2261,2263,22930,22931,2314,23495,2517,2563,25782,25836,26040,26137,26229,2623,2697,27445,2892,29851,29940,3054,3981,4041,4094,4204,4247,4313,471,473,4790,4791,4990,51,51185,51317,5144,51594,51604,51651,51715,538,54187,5447,54499,55209,5573,5580,5745,5832,5885,6492,6497,652,6938,701,7291,7337,7518,7545,8092,8243,8514,8742,9126,930,931,9469,9487,975,9895,9897,9939,9990",4
C0423110,Downward slant of palpebral fissure,"10262,10293,10297,1062,10682,10716,10733,10743,10982,11133,11253,1146,1301,1302,1387,1501,1723,1778,18,1855,1908,1917,1947,2033,207,2146,2182,2200,2239,2245,2248,2255,2260,2261,2263,2290,22995,2313,2316,23314,23334,23384,23394,23431,23522,23545,23630,25782,25885,25942,26040,26128,26137,26229,26235,2668,2697,27086,2719,27245,28952,29072,29920,29940,30008,3039,3040,3190,3265,3476,3832,3845,3954,4036,4038,4247,429,4297,4329,444,4598,4621,4763,4853,4854,4893,4920,4990,5048,5077,51082,5116,5159,5290,5396,54453,54499,545,5518,5528,55636,55690,5604,5605,5648,5727,5728,5781,5818,5831,5894,5922,5932,5979,6016,6197,6223,6234,627,6309,6497,650,652,6654,6655,673,6885,6899,6949,7021,7136,7140,7169,7372,7468,7469,7474,7531,8216,8243,8260,8450,8481,867,8813,8929,9037,9342,9343,9401,9469,9509,9533,9652,9723,9871,9897,9949,9968",5
C0240310,Hypoplasia of the maxilla,"10262,10484,10617,1280,1301,1387,1896,1909,2033,207,2077,2200,2245,2260,2261,2263,2317,23594,257,25782,25885,26128,26137,2697,2736,3590,3664,3759,3930,4040,4089,4313,4487,4998,5077,5083,51082,51114,5144,51715,5290,5308,5573,5727,5728,6197,633,6497,650,6949,7039,7291,7337,7341,7480,8242,8313,860,8626,8642,9343,9533,990,9935,9968,9990",1
C1856694,Areflexia of lower limbs,"2395,26353,3315,4099,5631,6606,6786,8139,8557,8988",0
C1842680,Hypoplastic lobules,"1312,2812,421,5792,6239,6899,7290,7353,9632,9896,990",7
C0023798,Lipoma,"10483,1175,207,2260,324,4540,4549,4558,4564,4566,4567,4571,4572,4574,4575,5290,5728,6390,6391,6392,8314,9927",5
C0006114,Cerebral Edema,"10165,1373,1629,25915,28976,29078,34,3908,435,445,4694,4709,4715,4719,4720,4722,4723,4724,4726,4729,5009,51103,55572,593,594",none
C0155552,"Hearing Loss, Mixed Conductive-Sensorineural","1280,1302,2138,2255,2261,2263,2317,2697,3199,5075,6234,6495",0
C1847514,Postnatal microcephaly,"10087,1719,1917,22796,22845,22931,25782,29968,3329,4204,5048,5119,5277,5538,6323,6571,6873,7337,8813,8818,9343,9440,9640,9915",5
C0037315,Sleep Apnea Syndromes,"10020,10108,10743,2261,2263,23742,3653,4692,54551,590,6638,6647,7259,7681,8924,9049",9
C0037771,"Paraparesis, Spastic","10166,10939,11152,1910,23111,2629,2697,4099,51324,5354,5428,54902,55149,6663,9255,9895",3
C0003949,Asbestosis,"1649,1675,22926,2952,3309,4843,5052,5265,6696,7001,7124,7171",1
C0694550,Recurrent pneumonia,"1080,1280,1302,1380,1535,1536,1956,2328,23495,23594,29760,29851,3507,3543,3763,3952,4683,4688,4791,4921,5184,5340,5351,5422,695,7840,8792,930,974",none
C0020564,Hypertrophy,"1390,1440,177,183,1906,196,2147,23411,284,4508,4512,4852,5594,5595,5728,6013,7225",5
C0007194,Hypertrophic Cardiomyopathy,"10555,11019,11186,11222,1340,1352,1410,1674,1738,2184,2194,2273,22868,23417,23493,2353,2395,2548,25821,25915,26580,2720,27235,28976,29078,291,3028,3033,3106,3265,3315,3329,3593,3630,37,3920,4556,4566,4567,4607,4609,4624,4625,4633,4634,4635,4668,4694,4709,4715,4719,4720,4722,4723,4724,4726,4729,4763,4830,51103,51204,514,51422,5250,5443,5468,54968,55572,5604,5605,5781,58498,5894,6016,617,6341,6389,6392,6548,6584,6654,673,6901,6902,6945,70,7134,7139,7157,7168,7414,8036,857,9531,9997",4
C0026650,Movement Disorders,"10367,10911,1268,1392,1812,1813,1814,22854,2290,23237,2348,2354,283989,3028,3064,3084,3251,3708,3736,4204,43,4540,4547,4549,4558,4564,4566,4567,4571,4572,4574,4575,4644,477,4967,4988,501,5080,5173,5189,5190,5192,5193,5194,5195,547,55670,5824,5828,5830,6314,6323,6515,6558,6792,7504,773,79042,80746,8504,8799,9409",2
C4021546,Abnormal mitochondria in muscle tissue,"25915,29078,4535,4536,4537,4694,4709,4715,4719,4720,4722,4723,4724,4726,4728,4729,51103,55572,6389,6392",none
C0235896,Infiltrate of lung,"10892,1235,1490,1493,26191,27086,3115,3123,330,348,3492,3663,5156,5657,7248,7249,857,8915",0
C0001768,Agammaglobulinemia,"29760,3507,3543,3551,3561,4261,5295,56262,5993,5994,6929,695,8625,930,973,974",6
C0702166,Acne,"1230,1312,175,1893,2099,2263,2812,2908,3106,3248,355,3586,3592,3973,421,4210,51752,54361,5566,6239,6578,6775,6899,7099,720,7290,7353,8302,9051,9060,9101,9563,9632,9663",9
C0018273,Growth Disorders,"10084,10743,152330,1544,1788,1902,196,2074,2245,26277,2688,27125,282808,285590,3162,3480,3481,3483,4054,407975,43,4880,5290,538,546,554,5744,6913,701,79048,84282,867,9719",8
C0271183,Severe myopia,"10265,11107,1297,1298,1301,2065,2200,2779,2916,4043,4053,4308,5158,54714,55214,6010,6011,6295,6611,778,9187,9364",1
C0020615,Hypoglycemia,"10128,10297,1374,1589,1629,1716,1738,178,2108,2109,2110,2184,2203,2239,229,23417,23432,23530,2538,2542,25821,25915,2592,2639,2688,2690,2693,2710,2719,2736,28976,29072,29078,2908,2936,3028,3030,3155,3158,3172,3265,34,3481,3553,36,3630,3643,3767,4221,4351,4358,4694,4709,4715,4719,4720,4722,4723,4724,4726,4729,5009,5015,5091,50937,5095,5096,5105,5106,51103,51660,5256,5265,5449,5465,54941,55065,55163,5528,55572,5626,5728,5836,593,594,617,6648,6658,6833,6927,7124,7381,7385,763,775,788,8802,8820,9150",7
C4280516,Thick craniofacial bones,"10060,2316,2697,2778,4038,4041,50964,55315,6197,6885,6916",none
C0003850,Arteriosclerosis,"2068,2071,2072,2073,2941,348,3988,4846,50485,5265,9365",8
C0020557,Hypertriglyceridemia,"1071,116519,1401,2646,338,3440,3630,4023,5360,5465,590,64788",9
C0240543,Bulbous nose,"10060,10084,10195,10717,10847,11154,1280,1302,1312,1376,1889,2131,2200,2290,23261,23314,2332,23363,23431,26128,2702,2703,27316,2812,30008,3759,4054,421,4313,4329,50485,54487,55690,6239,6309,673,6899,7227,7290,7353,8214,8220,9179,9427,9632,9820,9968,9993",none
C4280456,Dysplasia of tooth enamel,"1294,1387,1594,2033,2072,224,2255,2261,2263,2317,258,265,2697,2778,326,3655,3691,3694,3759,3861,3909,3914,3918,4763,4952,5116,5189,5339,545,7421,8481,860,8675,9076,9361",none
C1720887,Female Urogenital Diseases,"2018,2099,268,269,3206,3207,3209,3479,3975,3976,4488,5076,54361,657,7076,7474,7476,8626",1
C0018553,"Hamartoma Syndrome, Multiple","100144748,10483,207,2263,5290,5728,6390,6391,6392,657",5
C4025838,Abnormality of the pharynx,"1312,1736,26277,2812,3339,421,5073,51750,55135,55505,55651,6239,6662,6899,7012,7015,7290,7353,8106,9632",7
C0002874,Aplastic Anemia,"1437,1440,26277,3207,3458,4683,55505,5551,55651,6731,7012,7015",7
C0238463,Papillary thyroid carcinoma,"10342,182,1964,2120,2304,23085,23405,238,2846,3026,3265,3845,4893,4914,4916,51079,5108,51592,5468,5573,5979,5987,6390,673,7080,7175,729582,750,7849,8030,8031,8805,9950",8
C0008031,Chest Pain,"10019,1392,1493,2200,2301,26191,3043,3106,3115,3123,3593,3717,4015,4088,4210,4352,4625,4629,4638,51741,54790,5592,5657,59,6049,6329,6945,7042,7043,7046,7048,7066,7157,7248,7249,8076,811,9940",2
C0033054,Prenatal Exposure Delayed Effects,"10280,134,1490,1565,2247,2354,4128,4654,472,4968",1
C0265215,Meckel-Gruber syndrome,"23322,27077,51057,51259,54903,57096,57545,79583,79848,79867,80184,80776,91147",7
C0424296,Social disinhibition,"23230,2332,23435,2512,25978,2896,29110,4137,54209,5663,6683,7305,7415,8878",3
C4280596,Calvarial defect,"23426,3339,3516,3930,3954,4851,54567,7468,7469,9790",none
C4022003,Erectile abnormalities,"10371,1848,2253,2260,23767,26012,367,3730,4693,54756,55636,6663,6870,8820,8822,9394",6
C0002171,Alopecia Areata,"1493,154064,25824,2833,3559,3627,4283,55014,64375,79465,8242",7
C3887499,Renal cyst,"10806,11231,1282,1717,2239,22827,2317,2719,2737,3295,4853,51259,51604,5189,5190,5194,5314,5373,54585,5589,5828,585,5889,6628,701,7020,7248,7249,8195,9742",5
C0424551,Impaired exercise tolerance,"11232,1305,1340,1352,1756,1763,2027,22868,23479,25915,28976,29078,291,29925,2997,3920,3939,4566,4694,4709,4715,4719,4720,4722,4723,4724,4726,4729,50484,51067,51103,51204,5213,5224,5230,5255,5428,55572,617,6341,6389,6392,6901",3
C0036337,Schizoaffective Disorder,"100616496,203228,23305,23408,25830,2890,3077,4762,4852,4862,51586,5159,5321,5578,6303,6750,6934,7018,811,83259,9638",2
C0423820,Ridged nails,"1513,1736,1947,26277,3852,3861,4010,4487,488,55612,55630,7012,7015,8456,8517",5
C0424448,Mask-like facies,"1639,1760,2218,22954,23129,2332,23347,23400,2483,3339,3708,3763,4534,4621,4929,5080,5155,5159,538,58,5980,6575,7054,8106,9627",0
C1839025,Decreased amplitudes on flash visual electroretinogram,"10195,3000,3420,51,5538,55624,5995,6010,6121,6295,7439,9215,9227",5
C2677328,Brain hypomyelination,"10134,158,1967,55703,6663,6812,8604,8890,8891,8892,8893",2
C1854912,Short tubular bones,"1280,1301,1302,1311,1836,2121,2200,2261,26160,2690,2879,3339,3636,4089,4148,4920,4921,51025,55112,5745,6023,633,9719",4
C4025901,Abnormality of body height,"1848,2253,2260,26012,2796,2798,3730,3814,55636,6866,6870,8822,9394",none
C0003962,Ascites,"11231,1131,1716,2072,2153,2184,2492,2629,2632,26503,2990,3077,3717,3988,4758,51422,5589,699,701,9184,9702",9
C0917796,"Optic Atrophy, Hereditary, Leber","100188775,3552,3553,4508,4512,4514,4519,4535,4536,4538,4539,4540,4541,6121,9227",0
C0086437,Joint laxity,"10484,10516,10847,11285,1277,1278,1281,1291,1292,1293,1311,1387,175,1947,2006,2033,2317,2332,23394,23483,2588,25942,26123,26229,2623,2720,28960,3759,3835,4088,4853,4882,4998,5015,5076,51085,5176,5290,5295,5351,538,5979,6023,6261,6497,7048,715,8425,8450,8642,867,871,9469,9509,9968",4
C0427515,Neutrophil abnormality,"10320,1535,1536,1736,1789,204,26277,3070,3106,4615,4688,4689,5073,51750,55135,55505,55651,6901,7012,7015,9841",7
C0004114,Astrocytoma,"1029,10397,10683,2099,2100,2260,23462,23493,26524,3082,3091,324,367,3845,4233,4314,4318,4763,4851,4853,4915,57670,5781,673,7248,7249,8202,90,9113",5
C1385263,facial deformity,"10134,10771,11285,1134,1139,1144,1146,1349,158,1807,191,2077,2108,2109,2110,2263,2316,2464,26005,26053,26275,2639,2690,3295,3479,3480,3643,3897,4126,4329,444,51021,51305,5147,51621,5184,5193,5308,5426,5830,5832,5894,6134,6664,6748,6913,7546,9150",none
C0266013,Congenital hypoplasia of breast,"10371,1848,2099,2253,2260,23594,23767,26012,2796,2798,3730,3814,4998,5000,54756,55636,6663,6866,6870,6926,8517,8626,8820,8822,9394",6
C1866195,Downturned corners of mouth,"10108,10752,10815,10847,1146,1487,1917,2132,22931,23742,25836,2645,2710,27125,27445,3190,3481,3630,3651,3653,3756,3767,3954,4208,4692,4853,4920,4990,51185,51317,5277,5325,53834,54551,5648,5885,6309,652,6638,6833,7319,7468,7469,7681,7994,8243,8642,8924,8985,9126,9759",9
C4021998,Lack of skin elasticity,"10269,2200,242,26154,3265,4000,5424,7051,7486,9719",none
C0175754,Agenesis of corpus callosum,"1020,1021,10381,10472,10585,1063,11023,11041,11113,1376,1387,1583,1641,18,1911,2033,2074,2218,2239,2260,2263,2271,2290,22930,22995,23141,23384,23522,23556,2563,257,25942,26227,26275,2653,2657,2719,2731,275,29954,3052,3476,3897,4281,473,4784,4990,5015,50937,51021,5160,5396,54539,54820,54903,55640,5727,5831,60,6491,6496,6497,652,6608,6657,6658,701,7473,7545,7846,8481,8514,8820,9215,9401,9662,9791,9896,9915,9928,9968,9990",4
C1306710,Facial asymmetry,"10801,10984,1146,1909,1947,2261,2263,2313,25942,2778,3265,3481,3759,3845,4222,4613,4626,4893,51594,5290,545,5518,55636,6608,6611,6938,7291,7545,7547,8481,9573,9723,9990",4
C4025749,Abnormality of the spleen,"23522,2720,3043,3845,4893,5781,5894,5922,6016,6654,6655,673,8216",none
C1844947,Death in early childhood,"10013,10059,10084,10436,10491,10667,10683,1272,1641,1785,2067,2068,2073,2074,2239,22845,22909,23529,249,26276,2629,2653,27030,2719,2720,2731,275,28952,2956,3425,3655,3691,3845,3909,3914,3918,3988,4056,4072,429,4292,4436,4645,4893,51,51601,5189,5190,5192,5193,5194,5195,5277,5290,5339,5378,5395,54968,55005,55670,5631,5660,5824,5828,5830,5979,6628,6821,7048,7259,7284,8200,8504,8799,8818,8929,9244,9255,9409,9451,9897,9997",9
C1849488,Increased serum pyruvate,"39,3939,4558,4565,4566,4567,4571,50640,5091,51660,617,7385,8050,9131",0
C0151744,Myocardial Ischemia,"1000,10059,10462,1052,10611,1075,10928,10959,10965,1153,117579,1326,1329,1375,1398,1401,1432,153,154,1634,166,1737,183,1843,1848,1906,1959,2006,201475,2029,203,2150,2152,2171,2246,2247,226,22919,23491,2628,2634,2643,2690,27020,2710,2729,2768,28984,2920,2938,2946,2950,2992,3030,3082,3097,3098,3099,3146,3158,3162,3164,3303,3306,3313,334,3383,3397,3399,3459,3479,3486,3552,3553,3569,3572,3627,3659,3717,3726,374,3764,3791,389,406,4223,4254,4329,4478,4599,4691,4734,476,4792,4846,4878,5034,5037,5142,5160,5166,5209,5213,5236,5320,5443,5471,54738,5495,5515,5534,5581,5693,5786,5834,5868,595,60,60674,6139,6252,6258,6262,6347,6348,6351,6376,6401,6403,6533,6546,6648,6678,6776,6817,6890,6935,7037,7091,7112,7124,713,7139,7296,7357,7386,7412,7422,7538,7846,7879,79924,811,817,81876,821,83939,83992,8553,8773,894,9021,91543,9314,9370,9451,948,9518,952,9588,9637",1
C0035305,Retinal Detachment,"10585,1280,1297,1298,1299,1301,2200,2218,23418,23451,26191,2767,2776,29954,317,3240,3440,355,4036,4041,4693,5080,5351,5728,6247,726,7439,8322,836,842,8517,9131,9215",1
C4280613,Angle class 3 malocclusion,"1145,1161,1387,1855,2006,2033,2074,2239,2261,2263,2316,23426,26191,26608,2673,2697,2719,2736,2773,2969,2972,355,3559,3560,3984,4041,4088,444,4853,50964,51085,51109,5130,5295,5332,545,54880,5573,5604,5727,5771,5781,5982,6197,6497,6654,673,6775,7227,7297,7403,7461,760,8642,9031,919,9569",none
C0018671,Head and Neck Neoplasms,"1050,1440,1806,1956,2195,2304,23532,2876,2922,3026,374,4118,5594,5595,5888,5915,596,598,6778,7039,7298,7389,7422,7517,8314,9582",1
C0522224,Paralysed,"10133,10891,11235,1144,146862,1610,1639,2043,2066,23025,23411,23435,242,2521,25978,2760,283,29110,29978,3178,351,3630,4340,4744,5216,538,54209,5428,5444,5445,5446,54822,5630,590,6311,6559,6647,7415,8878,9217,9782,9896",3
C0558242,Stretched skin,"10269,2200,242,26154,3265,4000,5424,7051,7486,9719",0
C0020608,Hypodontia,"10269,10806,10815,10913,11128,128178,1308,1487,1513,1736,1896,2006,2121,2245,2255,2260,2261,2263,2296,2317,26277,26608,2969,3664,3691,3909,3914,3918,3954,3984,4000,4040,4487,4591,4792,5073,5083,51,51085,51098,51626,51750,5295,5308,53834,55131,55135,55505,55651,55703,5573,5745,5818,582,585,5906,5908,5982,6023,6197,6926,7012,7015,7039,7341,7403,7461,7468,7469,7480,80326,8085,8195,8200,8313,8481,8517,8626,9031,9076,9509,9533,9569",9
C0266011,Accessory nipple,"1723,1954,2239,2719,5648,5728,7020,8517,8626,9759,9839",9
C2677762,Tall forehead,"10000,10297,10815,1174,1376,1487,1513,1855,2006,2077,2108,2109,2110,2260,2261,2263,2313,23314,23334,23522,23729,25942,25974,26040,2626,26608,2690,2697,2737,29072,29123,2969,3039,3040,3090,3295,3476,3845,3930,3954,3984,4041,4094,4208,4893,4990,5048,51114,51604,5189,5190,5192,5193,5194,5195,5290,5296,538,53834,54928,55670,5604,5605,5781,5824,5828,5830,5894,5922,5982,60,6016,652,6654,6655,6662,673,6786,6899,6905,701,7291,7461,7468,7469,7518,7531,7737,8216,8443,8504,8626,871,8799,894,9031,9409,9419,9451,9569,9897,9939,9968",none
C0024591,Malignant hyperpyrexia due to anesthesia,"1134,1144,1146,23529,3339,4621,6261,779,8518,9244",9
C0239981,Hypoalbuminemia,"1716,213,2335,3569,3675,396,4089,4351,4643,4868,51128,51196,5373,54840,5551,567,5800,657,7133,7827,81,8694,9640,9652",3
C0024121,Lung Neoplasms,"100,100126327,100271687,100271693,100507056,10063,1012,10253,1026,10266,1027,1028,1029,1066,10863,10919,11009,11063,11186,11200,1136,1138,1139,1143,116285,1291,1326,1401,1432,1490,1499,153090,1544,1545,1548,1571,1591,160492,1612,1636,1776,1788,1796,1806,182,1938,1956,2,2018,2052,2064,2065,207,2074,2099,2202,2254,2260,2263,2272,2305,23462,2353,2520,253650,2627,2638,2697,27044,2705,28234,2876,2878,2886,29108,2944,2950,2952,302,3162,324,3265,3280,332,335,3399,345,3458,3476,348,355,3553,3558,3569,3586,3659,3725,3726,3845,4000,400931,406902,406914,406927,406938,406946,406947,406968,407007,407009,407029,407035,407041,407042,4170,4233,4312,4319,4353,4354,442896,442914,442915,450093,4524,4609,475,4800,4843,4853,4854,4878,4968,5002,5052,5071,5111,5159,5265,5290,541471,5444,5519,55259,55840,5594,5595,5609,563,5728,5740,574413,574434,574445,574451,574452,5757,5894,5915,5925,595,598,60,60529,6091,634,6362,6414,6439,6441,6520,6599,664616,6657,6696,673,675,6776,6794,7011,7015,7037,7040,7048,7099,7124,7157,7253,7276,7298,7306,7367,7428,7474,7490,7508,780,79930,81037,8140,8314,841,84864,8517,8626,864,8678,8991,900,9046,9547,9588,9940",0
C1720508,Retinal pigment epithelial abnormality,"10002,1001,10210,10461,10594,10806,10908,1121,1258,1259,1261,1406,1499,224,22897,22930,22931,22999,23020,23093,23418,23568,23746,24,24148,25782,25794,26121,26146,26160,26504,2652,27031,27130,27229,2780,2978,2979,3000,324,3420,3423,3614,3769,4000,4117,4509,4547,4567,4751,4867,4901,4982,50484,5080,50939,5145,5146,5148,5158,5184,5189,5190,5191,5192,5193,5194,5195,5264,54476,54714,55624,55670,5824,5828,583,5830,5949,5956,5961,5995,6010,6017,6023,6094,6100,6101,6102,6103,6121,6295,7275,7287,7299,7399,7401,7439,7486,762,778,8481,8504,8754,8799,8842,9094,9128,9129,9227,9364,9409,9657,9742",none
C1449861,"Micronuclei, Chromosome-Defective","1029,11186,1543,1571,2052,2072,2944,2952,3014,3091,328,4029,4255,51426,5520,5527,5529,5888,6531,7507,7508,7515",1
C4020886,Defective or absent horizontal voluntary eye movements,"10939,11284,1737,23247,23322,23533,2629,27077,2895,4361,4867,51010,51259,51524,54209,54806,54840,54903,5828,6311,6697,673,7305,9731,9786",none
C0020505,Hyperphagia,"10108,10555,23742,25970,26580,2778,2896,3653,3952,3953,4137,4160,4221,4692,4915,5122,5443,54551,5663,6492,6519,6524,6638,7681,8924,9581",none
C1838869,Proximal neurogenic muscle weakness,"10020,10342,10345,10616,1291,1292,1293,1299,1785,1798,2218,2273,2318,23224,23345,2548,29925,29954,3178,3920,4508,4620,4625,4703,4942,5428,54332,5566,58,6261,6444,6606,6786,7148,7169,7170,7273,7415,7555,8106,8139,8291,844,8898,9215,9217,9499,9927",none
C0265563,Congenital dislocation of radial head,"10225,1146,1387,2033,2067,2316,25836,3835,4853,545,5573,6497,6913,9241",9
C4022878,Descending aortic dissection,"2200,2301,4015,4088,4629,4638,5592,59,7042,7043,7046,7048,8076",none
C2931092,Maternally Inherited Leigh Syndrome,"4508,4535,4536,4537,4538,4540,4541,4566,4567,4577,4578",0
C0040485,Torticollis,"1291,1292,1293,1356,1813,1816,1861,23400,25953,2643,2774,3208,478,55145,58,6342,774,8910",none
C1839254,Small capital femoral epiphyses,"1280,3835,4148,50485,6399,8985,9469,9719,9742,990",4
C1298695,Hypoplasia of optic disc,"2779,2916,4308,5158,6010,6011,6295,778,8820,9187,9342,9573",1
C0266039,Taurodontism,"10743,1736,1747,1896,2314,26277,2972,5073,51750,55135,55505,55651,7012,7015,8626",none
C0751883,"Congenital Myasthenic Syndromes, Postsynaptic","1134,1140,1144,1145,1305,285489,375790,4038,4593,5913,6329",7
C0262444,Dental abnormalities,"1001,10269,10664,10743,10804,10913,10984,1280,1301,1513,1643,1717,191,1947,2068,2071,2072,2073,2131,2132,2200,2316,249,2697,3043,3265,3481,3845,4204,4621,4893,4982,51604,5308,54345,54880,5818,6197,6452,6597,6598,6605,6628,6664,6885,7020,7403,7507,7508,760,7840,7994,8074,8085,8260,8289,8517,8626,9150,9361,9791",9
C1512419,Hereditary Melanoma,"1019,1029,1030,1032,25913,4157,4255,4286,54386,65057,7015,8314",3
C0221629,Proximal muscle weakness,"10020,10342,10345,10616,1291,1292,1293,1299,1785,1798,2218,2273,2318,23224,23345,2548,29925,29954,3178,3920,4508,4620,4625,4703,4942,5428,54332,5566,58,6261,6444,6606,6786,7148,7169,7170,7273,7415,7555,8106,8139,8291,844,8898,9215,9217,9499,9927",4
C0024668,"Mammary Neoplasms, Experimental","1019,1021,1040,10409,10653,10769,111,112802,1266,1289,1447,1448,1468,1622,1674,174,1848,186,1901,1915,1956,1984,2023,2052,2064,2099,2100,214,2167,2180,2202,2335,23569,26012,2625,2628,2678,2688,2771,2937,301,3021,3039,307,3162,3178,3182,3265,331,3397,3399,3400,347733,3479,3572,358,3586,3638,3852,3925,3963,4012,4023,4072,4191,4254,4256,4282,4318,4512,5020,5037,5045,50486,5154,51599,5223,5241,5245,5295,5315,5465,5609,5617,5618,5685,5720,5725,5731,5747,5764,5901,5921,5924,5925,5947,595,5950,5954,60,6051,6122,6128,6208,6277,6319,6414,6427,644076,6446,6558,6623,6634,6648,6662,6696,672,6774,6776,6790,7001,7018,7031,7069,7086,7091,71,7170,7227,7329,7351,7430,7498,7517,7534,780,81,832,8573,8648,8673,8743,8825,8848,8999,9019,902,93974,9429,949,960,9615,9902,998,999",none
C1858395,Tubular atrophy,"1184,27031,3675,4582,4643,4867,4868,51134,5972,7369",1
C0034067,Pulmonary Emphysema,"10516,11005,1548,2006,2052,2200,2717,30008,3162,3694,4000,4313,4318,4321,5265,6890,6891,6892,7040,7124,7248,7249,8425",9
C0006845,"Candidiasis, Chronic Mucocutaneous","10758,112744,23765,326,4261,5993,5994,64581,6772,84818,8625",0
C0017638,Glioma,"100316847,100415894,100415895,1029,1030,1116,11170,11200,1181,1182,1184,1233,137196,1657,1755,2064,2247,2260,23187,23362,23512,2495,2668,2950,3020,3105,3106,3107,338030,3417,347,3592,3593,3925,4041,404685,4192,4255,4436,4602,4603,4638,4683,4763,482,4914,4915,4916,51750,5347,546,5468,55294,55717,5728,5743,5894,6098,648,6528,6647,6696,673,675,7015,7037,7124,7153,7157,7494,7515,8358,847,8493,8743,90,9211,9444",1
C0020796,Profound Mental Retardation,"103,10479,10535,10585,11277,1193,2074,2218,2261,2271,22931,25939,29954,3329,3423,3763,4204,471,51091,51807,5296,54820,55275,55624,55704,6709,6792,701,7314,7737,9215",none
